Credits,Player Type,Player Name,Team,ESPN player name
7.0,BAT,Karun Nair,DC,KK Nair
8.5,BAT,Faf du Plessis,DC,F du Plessis
8.5,BOWL,Mitchell Starc,DC,MA Starc
5.5,BOWL,Gurnoor Brar Singh,GT,Gurnoor Brar
6.0,ALL,Nishant Sindhu,GT, 
5.5,ALL,Arshad Khan,GT,Arshad Khan
8.0,BAT,Sai Sudharsan,GT,B Sai Sudharsan
5.5,WK,Kumar Kushagra,GT,K Kushagra
6.0,ALL,Manav Suthar,GT,MJ Suthar
7.0,BAT,Sherfane Rutherford,GT,SE Rutherford
7.0,BOWL,Gerald Coetzee,GT,G Coetzee
6.5,WK,Anuj Rawat,GT,Anuj Rawat
6.0,BOWL,Kulwant Khejroliya,GT,K Khejroliya
9.0,BAT,Shubman Gill,GT,Shubman Gill
7.0,BOWL,Ravisrinivasan Sai Kishore,GT,R Sai Kishore
6.5,BAT,Mahipal Lomror,GT,MK Lomror
6.0,ALL,Karim Janat,GT, 
7.0,ALL,Washington Sundar,GT,Washington Sundar
7.5,ALL,Shahrukh Khan,GT,Arshad Khan
8.0,BOWL,Mohammed Siraj,GT,Mohammed Siraj
8.0,BAT,Glenn Phillips,GT,GD Phillips
9.0,BOWL,Rashid Khan,GT,Rashid Khan
7.5,BOWL,Prasidh Krishna,GT,M Prasidh Krishna
6.5,BOWL,Jayant Yadav,GT,J Yadav
7.0,ALL,Rahul Tewatia,GT,R Tewatia
8.5,BOWL,Kagiso Rabada,GT,K Rabada
9.0,WK,Jos Buttler,GT,JC Buttler
7.5,BOWL,Ishant Sharma,GT,I Sharma
8.0,BOWL,Harshit Rana,KKR,Harshit Rana
6.5,BAT,Angkrish Raghuvanshi,KKR,A Raghuvanshi
6.5,BOWL,Vaibhav Arora,KKR,VG Arora
5.5,WK,Luvnith Sisodia,KKR, 
6.0,BOWL,Mayank Markande,KKR,M Markande
6.0,BOWL,Chetan Sakariya,KKR,C Sakariya
7.5,WK,Rahmanullah Gurbaz,KKR,Rahmanullah Gurbaz
6.5,BOWL,Spencer Johnson,KKR,SH Johnson
9.0,BOWL,Varun Chakravarthy,KKR,CV Varun
8.0,BOWL,Anrich Nortje,KKR,A Nortje
6.0,ALL,Anukul Sudhakar Roy,KKR,AS Roy
7.5,ALL,Ramandeep Singh,KKR,Ramandeep Singh
7.0,BAT,Rovman Powell,KKR,R Powell
7.5,BAT,Rinku Singh,KKR,RK Singh
8.0,BAT,Venkatesh Iyer,KKR,VR Iyer
7.0,ALL,Moeen Ali,KKR,MM Ali
8.0,WK,Quinton de Kock,KKR,Q de Kock
8.5,ALL,Andre Russell,KKR,AD Russell
9.0,ALL,Sunil Narine,KKR,SP Narine
7.0,BAT,Manish Pandey,KKR,MK Pandey
7.5,BAT,Ajinkya Rahane,KKR,AM Rahane
6.0,BOWL,Umran Malik,KKR,Umran Malik
5.0,BOWL,Digvesh Singh,LSG,DS Rathi
5.5,BOWL,Prince Yadav,LSG,Prince Yadav
6.5,BOWL,Shamar Joseph,LSG,S Joseph
7.5,BOWL,Mayank Yadav,LSG,MP Yadav
6.0,ALL,Arshin Kulkarni,LSG,
7.0,BOWL,Akash Deep,LSG,Akash Deep
6.0,BOWL,Akash Singh,LSG,Akash Singh
5.0,ALL,Yuvraj Chaudhary,LSG,
8.0,BOWL,Ravi Bishnoi,LSG,Ravi Bishnoi
6.5,BAT,Abdul Samad,LSG,Abdul Samad
7.0,ALL,Shahbaz Ahmed,LSG,Shahbaz Ahmed
5.5,BOWL,Rajvardhan Hangargekar,LSG,RS Hangargekar
7.0,BAT,Ayush Badoni,LSG,A Badoni
5.5,WK,Aryan Juyal,LSG,
7.0,BOWL,Mohsin Khan,LSG,Mohsin Khan
6.5,BAT,Matthew Breetzke,LSG,
6.0,BOWL,Manimaran Siddharth,LSG,M Siddharth
9.0,WK,Rishabh Pant,LSG,RR Pant
5.5,BAT,Himmat Singh,LSG, 
8.0,ALL,Aiden Markram,LSG,AK Markram
8.0,BOWL,Avesh Khan,LSG,Avesh Khan
8.5,WK,Nicholas Pooran,LSG,N Pooran
8.0,BAT,David Miller,LSG,DA Miller
8.0,BAT,Mitchell Marsh,LSG,MR Marsh
7.5,BOWL,Shardul Thakur,LSG,SN Thakur 
6.0,BAT,Bevon Jacobs,MI, 
6.5,ALL,Naman Dhir,MI,Naman Dhir
5.5,WK,Robin Minz,MI,R Minz 
5.5,BAT,Raj Angad Bawa,MI,RA Bawa
5.0,BOWL,Vignesh Puthur,MI, 
5.5,ALL,Satyanarayana Raju,MI,PVSN Raju 
5.5,BOWL,Ashwani Kumar,MI,Ashwani Kumar 
8.0,BAT,Tilak Varma,MI,NT Tilak Varma
6.0,WK,KL Shrijith,MI, 
7.0,BOWL,Mujeeb ur Rahman,MI,Mujeeb Ur Rahman
7.5,WK,Ryan Rickelton,MI,RD Rickelton 
5.0,BOWL,Arjun Tendulkar,MI,AS Tendulkar
7.5,ALL,Will Jacks,MI,WG Jacks
9.0,ALL,Hardik Pandya,MI,HH Pandya
7.5,ALL,Mitchell Santner,MI,MJ Santner
6.5,BOWL,Reece Topley,MI,RJW Topley
6.0,ALL,Corbin Bosch,MI, 
9.0,BOWL,Jasprit Bumrah,MI,JJ Bumrah
8.5,BOWL,Trent Boult,MI,TA Boult
9.0,BAT,Suryakumar Yadav,MI,SA Yadav
8.0,BOWL,Deepak Chahar,MI,DL Chahar
6.5,BOWL,Karn Sharma,MI,KV Sharma
9.0,BAT,Rohit Sharma,MI,RG Sharma
6.0,ALL,Musheer Khan,PBKS, 
5.0,BAT,Harnoor Singh Pannu,PBKS,Harnoor Singh
5.5,BAT,Pyla Avinash,PBKS, 
5.5,ALL,Suryansh Shedge,PBKS,Suryansh Shedge 
6.5,BOWL,Harpreet Brar,PBKS,Harpreet Brar
6.5,BAT,Priyansh Arya,PBKS,P Arya 
6.0,BOWL,Kuldeep Sen,PBKS,KR Sen
8.0,ALL,Marco Jansen,PBKS,M Jansen
7.5,BAT,Nehal Wadhera,PBKS,N Wadhera
7.5,WK,Prabhsimran Singh,PBKS,Prabhsimran Singh
7.0,ALL,Aaron Hardie,PBKS, 
8.5,BOWL,Arshdeep Singh,PBKS,Arshdeep Singh
7.5,ALL,Azmatullah Omarzai,PBKS,Azmatullah Omarzai
6.5,WK,Vishnu Vinod,PBKS,Vishnu Vinod
6.5,BOWL,Xavier Bartlett,PBKS, 
7.5,BAT,Shashank Singh,PBKS,Shashank Singh
7.5,BOWL,Lockie Ferguson,PBKS,LH Ferguson
7.5,WK,Josh Inglis,PBKS, 
7.0,BOWL,Vyshak Vijaykumar,PBKS,V Vyshak
6.0,BOWL,Pravin Dubey,PBKS,P Dubey
6.5,BOWL,Yash Thakur,PBKS,Yash Thakur
8.5,BAT,Shreyas Iyer,PBKS,SS Iyer
8.0,ALL,Marcus Stoinis,PBKS,MP Stoinis
8.5,BOWL,Yuzvendra Chahal,PBKS,YS Chahal
8.5,ALL,Glenn Maxwell,PBKS,GJ Maxwell
5.0,BOWL,Abhinandan Singh,RCB, 
5.5,BAT,Swastik Chikara,RCB, 
6.0,ALL,Mohit Rathee,RCB,Mohit Rathee
6.0,BOWL,Suyash Sharma,RCB,Suyash Sharma
7.0,BAT,Jacob Bethell,RCB, 
6.5,BOWL,Rasikh Salam,RCB,Rasikh Salam
7.0,BOWL,Yash Dayal,RCB,Yash Dayal
6.5,ALL,Manoj Bhandage,RCB, 
7.5,BOWL,Nuwan Thushara,RCB,N Thushara
7.0,ALL,Romario Shepherd,RCB,R Shepherd
7.5,BAT,Tim David,RCB,TH David
7.0,BAT,Devdutt Padikkal,RCB,D Padikkal
7.5,ALL,Krunal Pandya,RCB,KH Pandya
8.0,BAT,Rajat Patidar,RCB,RM Patidar
7.5,WK,Jitesh Sharma,RCB,JM Sharma
7.5,BOWL,Lungi Ngidi,RCB,L Ngidi
8.5,WK,Philip Salt,RCB,PD Salt
8.0,ALL,Liam Livingstone,RCB,LS Livingstone
8.5,BOWL,Josh Hazlewood,RCB,JR Hazlewood
8.0,BOWL,Bhuvneshwar Kumar,RCB,B Kumar
7.0,ALL,Swapnil Singh,RCB,Swapnil Singh
9.0,BAT,Virat Kohli,RCB,V Kohli
5.0,BAT,Vaibhav Suryavanshi,RR, 
5.0,BOWL,Ashok Sharma,RR, 
6.0,BOWL,Kwena Maphaka,RR,KT Maphaka
5.0,WK,Kunal Singh Rathore,RR, 
7.0,BOWL,Akash Madhwal,RR,A Madhwal
5.5,BAT,Shubham Dubey,RR,SB Dubey
6.5,ALL,Yudhvir Singh Charak,RR,Yudhvir Singh
7.5,BOWL,Maheesh Theekshana,RR,M Theekshana
7.5,WK,Dhruv Jurel,RR,DC Jurel
6.0,BOWL,Kumar Kartikeya,RR,K Kartikeya
9.0,BAT,Yashasvi Jaiswal,RR,YBK Jaiswal
7.0,BOWL,FazalHaq Farooqi,RR,Fazalhaq Farooqi
8.0,ALL,Riyan Parag,RR,R Parag
7.5,BOWL,Tushar Deshpande,RR,TU Deshpande
8.0,BOWL,Jofra Archer,RR,JC Archer
8.5,ALL,Wanindu Hasaranga,RR,PW Hasaranga
7.5,ALL,Nitish Rana,RR,N Rana
7.5,BAT,Shimron Hetmyer,RR,SO Hetmyer
7.5,BOWL,Sandeep Sharma,RR,Sandeep Sharma
9.0,WK,Sanju Samson,RR,SV Samson
5.0,BAT,Aniket Verma,SRH,AU Verma 
6.0,BOWL,Eshan Malinga,SRH, 
8.0,ALL,K Nitish Reddy,SRH,K Nitish Kumar Reddy
6.5,BAT,Abhinav Manohar,SRH,A Manohar
6.5,BAT,Atharva Taide,SRH,A Taide
6.0,BOWL,Simarjeet  Singh,SRH,Simarjeet Singh
6.5,BOWL,Rahul Chahar,SRH,RD Chahar
8.5,ALL,Abhishek Sharma,SRH,Abhishek Sharma
7.0,BAT,Kamindu Mendis,SRH, 
7.0,ALL,Wiaan Mulder,SRH, 
5.5,BOWL,Zeeshan Ansari,SRH, 
8.0,WK,Ishan Kishan,SRH,Ishan Kishan
9.0,WK,Heinrich Klaasen,SRH,H Klaasen
6.5,BAT,Sachin Baby,SRH,Sachin Baby
9.0,BAT,Travis Head,SRH,TM Head
7.5,BOWL,Adam Zampa,SRH,A Zampa
8.0,BOWL,Harshal Patel,SRH,HV Patel
8.5,BOWL,Pat Cummins,SRH,PJ Cummins
8.5,BOWL,Mohammed Shami,SRH,Mohammed Shami
7.0,BOWL,Jaydev Unadkat,SRH,JD Unadkat
