Player,Credits,Player Type,Team,Batting Form,Bowling Form
Jacob Bethell,7.0,BAT,RCB,64.59660645867542,30.0
Rasikh Salam,6.5,BOWL,RCB,50.0,20.57323452484743
Yash Dayal,7.0,BOWL,RCB,6.039545703338806,61.91368788142982
Manoj Bhandage,6.5,ALL,RCB,9.261904761904763,30.0
Nuwan Thushara,7.5,BOWL,RCB,30.0,30.0
Romario Shepherd,7.0,ALL,RCB,65.8603927203065,19.051874455100265
Tim David,7.5,BAT,RCB,82.12787356321839,30.0
Devdutt Padikkal,7.0,BAT,RCB,75.82519157088122,30.0
Krunal Pandya,7.5,ALL,RCB,51.25047892720307,82.9940424295263
Rajat Patidar,8.0,BAT,RCB,69.07389162561576,30.0
Jitesh Sharma,7.5,WK,RCB,59.71192528735632,30.0
Lungi Ngidi,7.5,BOWL,RCB,50.0,67.5864574251671
Philip Salt,8.5,WK,RCB,81.75324986316365,30.0
Liam Livingstone,8.0,ALL,RCB,49.43452380952381,48.44013368206917
Josh Hazlewood,8.5,BOWL,RCB,8.420498084291188,90.68802673641383
Bhuvneshwar Kumar,8.0,BOWL,RCB,21.4681855500821,74.74934612031387
Swapnil Singh,7.0,ALL,RCB,30.0,30.0
Virat Kohli,9.0,BAT,RCB,83.36826081007116,30.0
Vaibhav Suryavanshi,5.0,BAT,RR,79.24661330049261,30.0
Ashok Sharma,5.0,BOWL,RR,30.0,30.0
Kwena Maphaka,6.0,BOWL,RR,30.0,30.0
Kunal Singh Rathore,5.0,WK,RR,6.039545703338806,30.0
Akash Madhwal,7.0,BOWL,RR,17.131944444444443,15.99099099099099
Shubham Dubey,5.5,BAT,RR,66.55665024630542,30.0
Yudhvir Singh Charak,6.5,ALL,RR,50.0,18.38927637314734
Maheesh Theekshana,7.5,BOWL,RR,18.499007936507937,62.08660273176403
Dhruv Jurel,7.5,WK,RR,74.04655856595511,30.0
Kumar Kartikeya,6.0,BOWL,RR,16.225078680897646,38.06306306306307
Yashasvi Jaiswal,9.0,BAT,RR,89.1599958949097,30.0
FazalHaq Farooqi,7.0,BOWL,RR,22.003951149425287,16.8018018018018
Riyan Parag,8.0,ALL,RR,90.51936234263819,47.45931415286255
Tushar Deshpande,7.5,BOWL,RR,21.68366858237548,45.24847428073235
Jofra Archer,8.0,BOWL,RR,44.357655993431855,64.11798895669864
Wanindu Hasaranga,8.5,ALL,RR,20.230227148330595,67.58064516129033
Nitish Rana,7.5,ALL,RR,76.10820333880679,31.936936936936938
Shimron Hetmyer,7.5,BAT,RR,69.37647099069513,30.0
Sandeep Sharma,7.5,BOWL,RR,27.573275862068964,55.690932868352235
Sanju Samson,9.0,WK,RR,71.47639573070607,30.0
Aniket Verma,5.0,BAT,SRH,72.74671592775042,30.0
Eshan Malinga,6.0,BOWL,SRH,50.0,60.61900610287707
K Nitish Reddy,8.0,ALL,SRH,54.63214969896004,30.0
Abhinav Manohar,6.5,BAT,SRH,36.475266830870275,30.0
Atharva Taide,6.5,BAT,SRH,30.0,30.0
Simarjeet- Singh,6.0,BOWL,SRH,14.402162014230981,22.46149375181634
Rahul Chahar,6.5,BOWL,SRH,50.0,31.936936936936938
Abhishek Sharma,8.5,ALL,SRH,89.95309934318556,26.126126126126128
Kamindu Mendis,7.0,BAT,SRH,43.219280240831964,49.64109270560884
Wiaan Mulder,7.0,ALL,SRH,30.0,30.0
Zeeshan Ansari,5.5,BOWL,SRH,50.0,49.60767218831735
Ishan Kishan,8.0,WK,SRH,66.19783114395183,12.477477477477477
Heinrich Klaasen,9.0,WK,SRH,81.25626026272577,30.0
Sachin Baby,6.5,BAT,SRH,50.0,30.0
Travis Head,9.0,BAT,SRH,80.02979611384784,30.0
Adam Zampa,7.5,BOWL,SRH,50.0,29.475443185120607
Harshal Patel,8.0,BOWL,SRH,25.276238368910782,76.64705027608254
Pat Cummins,8.5,BOWL,SRH,61.790024630541865,74.53501888985761
Mohammed Shami,8.5,BOWL,SRH,27.666102216748772,43.421970357454235
Jaydev Unadkat,7.0,BOWL,SRH,50.0,79.33594885207788
