Player,Credits,Player Type,Team,Batting Form,Bowling Form
Swastik Chikara,5.5,BAT,RCB,30.0,30.0
Mohit Rathee,6.0,ALL,RCB,30.0,30.0
Suyash Sharma,6.0,BOWL,RCB,50.0,53.212728857890156
Jacob Bethell,7.0,BAT,RCB,64.49621734812672,30.0
Rasikh Salam,6.5,BOWL,RCB,50.0,20.57323452484743
Yash Dayal,7.0,BOWL,RCB,5.998011039243618,61.91368788142982
Manoj Bhandage,6.5,ALL,RCB,9.198049907200428,30.0
Nuwan Thushara,7.5,BOWL,RCB,30.0,30.0
Romario Shepherd,7.0,ALL,RCB,66.0771138403401,19.051874455100265
Tim David,7.5,BAT,RCB,82.28460085025979,30.0
Devdutt Padikkal,7.0,BAT,RCB,75.81499875399373,30.0
Krunal Pandya,7.5,ALL,RCB,51.25543314525457,82.9940424295263
Rajat Patidar,8.0,BAT,RCB,69.11079785314979,30.0
Jitesh Sharma,7.5,WK,RCB,59.69269115037993,30.0
Lungi Ngidi,7.5,BOWL,RCB,50.0,67.5864574251671
Philip Salt,8.5,WK,RCB,81.70224820444918,30.0
Liam Livingstone,8.0,ALL,RCB,49.55563696956397,48.44013368206917
Josh Hazlewood,8.5,BOWL,RCB,8.379900803023146,90.68802673641383
Bhuvneshwar Kumar,8.0,BOWL,RCB,21.35378023424918,74.74934612031387
Swapnil Singh,7.0,ALL,RCB,30.0,30.0
Virat Kohli,9.0,BAT,RCB,83.24159689651452,30.0
Vaibhav Suryavanshi,5.0,BAT,RR,30.0,30.0
Ashok Sharma,5.0,BOWL,RR,30.0,30.0
Kwena Maphaka,6.0,BOWL,RR,30.0,30.0
Kunal Singh Rathore,5.0,WK,RR,5.998011039243618,30.0
Akash Madhwal,7.0,BOWL,RR,17.03153046764289,15.99099099099099
Shubham Dubey,5.5,BAT,RR,66.61005396880893,30.0
Yudhvir Singh Charak,6.5,ALL,RR,50.0,18.38927637314734
Maheesh Theekshana,7.5,BOWL,RR,18.371255937126897,62.08660273176403
Dhruv Jurel,7.5,WK,RR,73.97979238188046,30.0
Kumar Kartikeya,6.0,BOWL,RR,16.113169914341718,38.06306306306307
Yashasvi Jaiswal,9.0,BAT,RR,88.99371231760885,30.0
FazalHaq Farooqi,7.0,BOWL,RR,21.86986301369863,16.8018018018018
Riyan Parag,8.0,ALL,RR,90.34381683335874,47.45931415286255
Tushar Deshpande,7.5,BOWL,RR,21.533632870761256,45.24847428073235
Jofra Archer,8.0,BOWL,RR,44.41126389668934,64.11798895669864
Wanindu Hasaranga,8.5,ALL,RR,20.090714835657355,67.58064516129033
Nitish Rana,7.5,ALL,RR,76.0968528113249,31.936936936936938
Shimron Hetmyer,7.5,BAT,RR,69.34302831595744,30.0
Sandeep Sharma,7.5,BOWL,RR,27.400921114785074,55.690932868352235
Sanju Samson,9.0,WK,RR,71.5345617963319,30.0
Aniket Verma,5.0,BAT,SRH,72.70673382702458,30.0
Eshan Malinga,6.0,BOWL,SRH,50.0,60.61900610287707
K Nitish Reddy,8.0,ALL,SRH,54.545412279298816,30.0
Abhinav Manohar,6.5,BAT,SRH,36.53148211516073,30.0
Atharva Taide,6.5,BAT,SRH,30.0,30.0
Simarjeet- Singh,6.0,BOWL,SRH,14.30282508675551,22.46149375181634
Rahul Chahar,6.5,BOWL,SRH,50.0,31.936936936936938
Abhishek Sharma,8.5,ALL,SRH,89.74259184182041,26.126126126126128
Kamindu Mendis,7.0,BAT,SRH,43.22877790961061,49.64109270560884
Wiaan Mulder,7.0,ALL,SRH,30.0,30.0
Zeeshan Ansari,5.5,BOWL,SRH,50.0,49.60767218831735
Ishan Kishan,8.0,WK,SRH,66.13428972063424,12.477477477477477
Heinrich Klaasen,9.0,WK,SRH,81.24744382743371,30.0
Sachin Baby,6.5,BAT,SRH,50.0,30.0
Travis Head,9.0,BAT,SRH,79.99057405554585,30.0
Adam Zampa,7.5,BOWL,SRH,50.0,29.475443185120607
Harshal Patel,8.0,BOWL,SRH,25.101273344020473,76.64705027608254
Pat Cummins,8.5,BOWL,SRH,61.77419855760826,74.53501888985761
Mohammed Shami,8.5,BOWL,SRH,27.508952648042285,43.421970357454235
Jaydev Unadkat,7.0,BOWL,SRH,50.0,79.33594885207788
Urvil Patel,5.0,WK,CHE,62.69152139225393,30.0
Sediqullah Atal,6.0,BAT,DC,30.0,30.0
Kusal Mendis,7.0,WK,GT,30.0,30.0
Mitchell Owen,6.0,ALL,PBKS,30.0,30.0
Kyle Jamieson,7.0,BOWL,PBKS,30.0,30.0
Mayank Agarwal,6.5,BAT,RCB,30.0,30.0
Lhuan-dre Pretorius,6.0,WK,RR,30.0,30.0
Nandre Burger,7.0,BOWL,RR,30.0,30.0
William O'Rourke,7.0,BOWL,LSG,30.0,30.0
Raghu Sharma,5.0,BOWL,MI,30.0,30.0
Smaran-R,5.0,BAT,SRH,30.0,30.0
Harsh Dubey,5.0,ALL,SRH,30.0,30.0
